gbifID,scientificName,decimalLatitude,decimalLongitude,year,eventDate
4438966445,Lontra canadensis,32.816937,-96.453473,2023,2023-10-28
4438921065,Lontra canadensis,33.008986,-96.643387,2023,2023-11-04
4438791573,Lontra canadensis,30.15954,-97.213228,2023,2023-10-29
4436388654,Lontra canadensis,29.825637,-95.709295,2023,2023-03-05
4436266982,Lontra canadensis,30.606733,-96.071191,2023,2023-10-29
4436249253,Lontra canadensis,30.800209,-97.624061,2023,2023-10-08
4431191745,Lontra canadensis,29.919973,-95.796455,2023,2023-02-26
4431096201,Lontra canadensis,31.228675,-94.715689,2023,2023-10-17
4431073085,Lontra canadensis,30.775355,-97.306891,2023,2023-10-14
4431052007,Lontra canadensis,30.495777,-96.174371,2023,2023-10-14
4430972165,Lontra canadensis,30.934754,-97.792773,2023,2023-09-30
4430716966,Lontra canadensis,29.969496,-95.688336,2023,2023-03-03
4430647527,Lontra canadensis,30.545412,-96.16158,2023,2023-10-14
4430572312,Lontra canadensis,30.80131,-97.653864,2023,2023-09-27
4430450206,Lontra canadensis,29.578472,-94.520225,2021,2021-04-18
4424354787,Lontra canadensis,30.580255,-96.280517,2023,2023-09-10
4416767722,Lontra canadensis,30.032537,-96.857165,2023,2023-09-09
4416634907,Lontra canadensis,29.835343,-95.69503,2023,2023-08-30
4414302980,Lontra canadensis,29.802752,-95.623154,2023,2023-08-18
4414301024,Lontra canadensis,31.383959,-96.883191,2023,2023-09-17
4414191673,Lontra canadensis,32.919062,-96.793749,2023,2023-09-10
4414185318,Lontra canadensis,29.832714,-95.760206,2023,2023-08-19
4413522851,Lontra canadensis,32.965897,-96.537102,2023,2023-06-04
4413396752,Lontra canadensis,32.880246,-96.559178,2023,2023-06-07
4407550837,Lontra canadensis,30.86461,-97.635123,2023,2023-08-27
4407133900,Lontra canadensis,30.915216,-97.600722,2023,2023-08-26
4177560461,Lontra canadensis,30.630599,-97.409441,2023,2023-08-13
4177525401,Lontra canadensis,33.048857,-96.741818,2023,2023-08-12
4177408509,Lontra canadensis,33.067282,-96.715072,2023,2023-08-10
4177280480,Lontra canadensis,29.913997,-96.381846,2023,2023-07-22
4171351362,Lontra canadensis,30.521835,-96.202262,2021,2021-02-13
4171330266,Lontra canadensis,29.656235,-95.394976,2021,2021-12-23
4171301950,Lontra canadensis,30.799021,-97.779167,2023,2023-07-11
4171218364,Lontra canadensis,30.44685,-96.13378,2021,2021-03-31
4165906334,Lontra canadensis,32.820544,-96.607338,2023,2023-07-25
4165875330,Lontra canadensis,32.541193,-97.011259,2023,2023-07-14
4165780951,Lontra canadensis,32.562036,-97.070336,2023,2023-07-14
4165780489,Lontra canadensis,29.736036,-95.319633,2022,2022-01-23
4165724727,Lontra canadensis,31.57066,-94.770131,2023,2023-07-21
4165692144,Lontra canadensis,30.893134,-97.625702,2023,2023-07-16
4165519275,Lontra canadensis,30.628053,-97.668105,2023,2023-07-19
4165485569,Lontra canadensis,29.701263,-95.269808,2023,2023-06-03
4165342526,Lontra canadensis,29.974105,-95.466877,2023,2023-04-29
4162420692,Lontra canadensis,29.695362,-95.205832,2021,2021-10-02
4162113769,Lontra canadensis,29.778622,-95.292988,2021,2021-07-03
4162025465,Lontra canadensis,29.750608,-95.25445,2023,2023-04-22
4153992129,Lontra canadensis,29.813305,-95.175888,2023,2023-07-05
4145668310,Lontra canadensis,32.866508,-96.542184,2023,2023-06-23
4145654876,Lontra canadensis,30.189011,-95.467079,2023,2023-06-30
4145325560,Lontra canadensis,30.774971,-98.275531,2023,2023-05-28
4145195510,Lontra canadensis,33.056363,-96.677095,2023,2023-02-24
4138566562,Lontra canadensis,30.283117,-97.940779,2022,2022-12-16
4138189030,Lontra canadensis,30.736549,-96.840175,2023,2023-06-18
4134169396,Lontra canadensis,32.962596,-96.559306,2023,2023-06-02
4134131320,Lontra canadensis,32.962818,-96.461444,2023,2023-06-03
4129824301,Lontra canadensis,32.781271,-94.99225,2017,2017-02-22
4129819623,Lontra canadensis,32.868939,-96.512651,2023,2023-05-19
4129772358,Lontra canadensis,31.38977,-94.707352,2021,2021-12-15
4129731001,Lontra canadensis,28.987778,-95.527219,2019,2019-10-25
4129691395,Lontra canadensis,32.741528,-97.161629,2023,2023-04-28
4126953169,Lontra canadensis,32.878196,-96.762311,2023,2023-05-23
4126835014,Lontra canadensis,33.165855,-96.864281,2023,2023-05-26
4126689882,Lontra canadensis,30.016742,-97.238406,2023,2023-05-21
4116205275,Lontra canadensis,32.888101,-96.533557,2023,2023-05-15
4111892251,Lontra canadensis,32.797489,-96.851856,2023,2023-04-29
4111612221,Lontra canadensis,31.336545,-94.625768,2023,2023-05-04
4111601789,Lontra canadensis,30.598752,-97.58391,2023,2023-05-02
4111568869,Lontra canadensis,32.86586,-96.742576,2021,2021-03-19
4103201342,Lontra canadensis,29.952102,-97.876297,2020,2020-07-22
4102890344,Lontra canadensis,30.274034,-97.709987,2023,2023-04-29
4102769087,Lontra canadensis,32.965569,-95.905104,2023,2023-04-23
4096941650,Lontra canadensis,31.598277,-97.085329,2023,2023-04-24
4091759627,Lontra canadensis,30.324208,-97.564149,2023,2023-04-10
